Periódico,Hipervínculo,Target
El Mundo,https://www.elmundo.es/ciencia-y-salud/salud/2022/01/01/61d01173a654fe0020c2ff28-directo.html,0
El Mundo,https://www.elmundo.es/ciencia-y-salud/salud/2021/12/31/61ce63e821efa075118b459c.html,0
El Mundo,https://www.elmundo.es/television/momentvs/2022/01/01/61cf9c00fc6c83aa328b45a7.html,0
El Mundo,https://www.elmundo.es/yodona/moda/2022/01/01/61cc5b59e4d4d8ff7f8b45a1.html,0
El Mundo,https://www.elmundo.es/loc/2022/01/01/61d015c7fdddff7e2c8b45a5.html,0
El Mundo,https://www.elmundo.es/cataluna/2022/01/01/61d0119efc6c839d0a8b4583.html,0
El Mundo,https://www.elmundo.es/economia/macroeconomia/2021/12/31/61cd9cccfc6c838a7e8b45cc.html,0
El Mundo,https://www.elmundo.es/economia/2021/12/31/61c4b72cfc6c8327648b45b7.html,0
El Mundo,https://www.elmundo.es/loc/famosos/2021/12/31/61ccc20dfc6c8305628b45e1.html,0
El Mundo,https://www.elmundo.es/deportes/baloncesto/liga-endesa/2022/01/01/61d0227ee4d4d8a0348b458f.html,0
El Mundo,https://www.elmundo.es/deportes/futbol/primera-division/2021/12/31/61c5fd3afc6c83a27b8b4596.html,0
El Mundo,https://www.elmundo.es/internacional/2022/01/01/61d02bccfdddfff9778b4578.html,0
El Mundo,https://www.elmundo.es/internacional/2021/12/31/61cde67ffc6c8346448b45be.html,0
El Mundo,https://www.elmundo.es/economia/2021/12/31/61cf4191fc6c837e468b458f.html,0
El Mundo,https://www.elmundo.es/economia/actualidad-economica/2021/12/31/61c0c102fdddff6a248b45b5.html,0
El Mundo,https://www.elmundo.es/loc/famosos/2021/12/31/61cd98db21efa0a32f8b458e.html,0
El Mundo,https://www.elmundo.es/loc/casa-real/2021/12/31/61cb0ca7e4d4d8bd0f8b45a0.html,0
El Mundo,https://www.elmundo.es/viajes/asia/2021/12/31/61c323e621efa01d6b8b4587.html,0
El Mundo,https://www.elmundo.es/cultura/cine/2021/12/31/61cddcf8fdddff983b8b45b1.html,0
El Mundo,https://www.elmundo.es/cultura/2021/12/31/61cf5cf321efa07d768b45dd.html,0
El Mundo,https://www.elmundo.es/yodona/lifestyle/2021/12/30/61cd77b7fdddff29228b459d.html,0
El Mundo,https://www.elmundo.es/ofertas-regalos/2021/12/31/61cd9b90fdddff2d318b4578.html?intcmp=PORTBAZ,0
El Mundo,https://www.elmundo.es/economia/actualidad-economica/2022/01/01/61c98861fdddffa73c8b45c2.html,0
El Mundo,https://www.elmundo.es/ciencia-y-salud/salud/2022/01/02/61d14339a654fe0020c34e88-directo.html,0
El Mundo,https://www.elmundo.es/ciencia-y-salud/salud/2022/01/02/61d09abafc6c831c1c8b4598.html,0
El Mundo,https://www.elmundo.es/economia/actualidad-economica/2022/01/02/61cc5715e4d4d88c2b8b45c9.html,0
El Mundo,https://www.elmundo.es/economia/macroeconomia/2022/01/01/61d0be5be4d4d841078b4578.html,0
El Mundo,https://www.elmundo.es/cataluna/2022/01/02/61d097affc6c83d4558b45bb.html,0
El Mundo,https://www.elmundo.es/internacional/2022/01/01/61d065fb21efa02c488b45d6.html,0
El Mundo,https://www.elmundo.es/economia/2022/01/01/61c3ac1ffdddff00758b45db.html,0
El Mundo,https://www.elmundo.es/internacional/2022/01/02/61d07c3efc6c83d4558b45b0.html,0
El Mundo,https://www.elmundo.es/ciencia-y-salud/salud/2022/01/01/61ce237d21efa042498b45c0.html,0
El Mundo,https://www.elmundo.es/deportes/baloncesto/liga-endesa/2022/01/02/61d090d1fdddff9a518b45e3.html,0
El Mundo,https://www.elmundo.es/deportes/futbol/primera-division/2022/01/02/61d0b1bbfc6c832d738b456d.html,0
El Mundo,https://www.elmundo.es/deportes/futbol/primera-division/2022/01/02/61d097e321efa07f2b8b4588.html,0
El Mundo,https://www.elmundo.es/comunidad-valenciana/2022/01/02/61d16e66fc6c8352538b458a.html,0
El Mundo,https://www.elmundo.es/cataluna/2022/01/02/61d08140fdddfff7b78b4581.html,0
El Mundo,https://www.elmundo.es/television/2022/01/02/61d172b021efa07f2b8b4592.html,0
El Mundo,https://www.elmundo.es/yodona/moda/2022/01/01/61cc33fffc6c834e738b4578.html,0
El Mundo,https://www.elmundo.es/loc/celebrities/2022/01/02/61cc9f2721efa049128b45e9.html,0
El Mundo,https://www.elmundo.es/loc/famosos/2022/01/02/61cc806efdddffa2148b45d1.html,0
El Mundo,https://www.elmundo.es/cultura/musica/2022/01/02/61d093d5fc6c8322628b4583.html,0
El Mundo,https://www.elmundo.es/metropoli/otros-planes/2022/01/01/61cb2c73fc6c83760e8b459d.html,0
El Mundo,https://www.elmundo.es/yodona/lifestyle/2021/12/30/61cc45a5fc6c8300528b4574.html,0
El Mundo,https://www.elmundo.es/ofertas-regalos/2021/12/31/61cd9b90fdddff2d318b4578.html?intcmp=PORTBAZ,0
El Mundo,https://www.elmundo.es/ciencia-y-salud/salud/2022/01/03/61d1c5dbe4d4d8a0348b45be.html,0
El Mundo,https://www.elmundo.es/ciencia-y-salud/salud/2022/01/03/61d29275a654fe0020c3bb89-directo.html,0
El Mundo,https://www.elmundo.es/economia/2022/01/02/61d1ca70fc6c8365498b45ce.html,0
El Mundo,https://www.elmundo.es/television/medios/2022/01/03/61d1e7ffe4d4d8045f8b456e.html,0
