Periódico,Hipervínculo,Fecha publicación,Titular,Subtítulo,Target,Cuerpo
El Mundo Today,https://www.elmundotoday.com/2021/09/diaz-ayuso-logra-contarle-a-joe-biden-el-proyecto-de-la-piramide-azteca-en-un-pasillo-de-100-metros-de-largo/,2021-09-27,Díaz Ayuso logra contarle a Joe Biden el proyecto de la pirámide azteca en un pasillo de 100 metros de largo,ASEGURA LA PRESIDENTA QUE LE HA SOBRADO PASILLO,1,"La presidenta de la Comunidad de Madrid, Isabel Díaz Ayuso, ha dado este domingo el pistoletazo de salida a su viaje de siete días por Estados Unidos. Hoy mismo, la gira se ha considerado ya amortizada cuando, recién llegada a Washington D. C. desde Nueva York, Ayuso ha podido coincidir con el presidente norteamericano Joe Biden en un pasillo durante una visita turística a la Casa Blanca y, en solo 20 segundos, ha sido capaz de ponerle al corriente del proyecto de construcción de una pirámide azteca en Madrid promovido por el artista Nacho Cano.
«Creo que se ha hecho un lío al final con lo de la pirámide y se ha pensado que era mexicana, pero bueno, la realidad es que, en la mitad de tiempo que el señor Sánchez, he hecho el doble por Madrid y por tanto por España y por todos los españoles», ha sentenciado con satisfacción la presidenta.
El equipo de Ayuso insiste en que el encuentro con Biden no ha sido «un mero saludo como el del señor Sánchez» y defiende, de hecho, que ha tenido lugar una «reunión bilateral» en toda regla. El acierto de Ayuso, siempre según sus colaboradores, ha sido saltarse precisamente la parte del saludo protocolario e ir al grano. «Teníamos aún menos pasillo que Sánchez, no podíamos perder el tiempo y la presidenta ha sabido estar a la altura abriendo fuego con una pregunta directa: ‘Do You Know Mecano?'», explica el entorno de Ayuso. Esas primeras palabras han captado, al parecer, el interés de Biden «a diferencia del señor Sánchez, que en 30 largos segundos no pasó de la simple conversación de pasillo».
Díaz Ayuso asegura que le ha sobrado pasillo y que al final del recorrido ha tenido que hablar del tiempo porque ya estaba todo dicho.
"
El Mundo Today,https://www.elmundotoday.com/2021/10/un-meteorito-cae-sobre-la-tierra-y-mata-al-dinosaurio-que-hizo-el-discurso-en-la-onu/,2021-10-29,Un meteorito cae sobre la Tierra y mata al dinosaurio que hizo el discurso en la ONU,NaN,1,INICIAR SESIÓN
El Mundo Today,https://www.elmundotoday.com/2021/10/quitadnos-el-chocolate-si-quereis-pero-no-la-filosofia-suplican-al-gobierno-los-ninos-espanoles/,2021-10-29,"“Quitadnos el chocolate si queréis pero no la Filosofía”, suplican al Gobierno los niños españoles","TEMEN ADEMÁS QUE SE PROHÍBA LA PROSTITUCIÓN PORQUE ""EL SEXO ES EL SUSTITUTO NATURAL DEL CHOCOLATE""",1,"
Duro mazazo para la infancia en España. Esta semana, el Ministerio de Consumo ha anunciado que prohibirá la publicidad de chocolatinas, dulces y helados dirigida a menores con el objetivo de reducir notablemente su ingesta. Pero, además, se ha sabido que la asignatura de Filosofía desaparecerá de la oferta de optativas de la ESO con la aplicación de la Lomloe (Ley Orgánica para la Mejora de la Calidad Educativa). Esta segunda amenaza ha puesto a los niños en pie de guerra.
«Podemos prescindir del chocolate, pero no vemos cómo apañárnoslas sin la capacidad de emitir juicios sintéticos a priori. Necesitamos también herramientas argumentativas para combatir el relativismo imperante, defender la existencia de ‘lo real’ ante postulados idealistas extremos o al menos ser capaces de distinguir el ‘ser-en-sí’ del ‘ser-para-sí'», comenta Pedro Soriano, de nueve años de edad. «Mis hermanos me vacilan diciéndome que un genio maligno me engaña y que mi realidad no es real y yo no sé qué contestar», protesta.
Los niños, pues, consideran que el Gobierno los ha dejado en la estacada. «Sin pensamiento crítico nos abandonaríamos a una vida irreflexiva, frívola y dedicada a los placeres mundanos, pero cómo se supone que se hace esto sin chocolate ni dulces», se pregunta Soriano.
Los menores se muestran preocupados también por la intención de abolir la prostitución, pues consideran que el sexo es el sustituto natural del chocolate. «Alguna alternativa nos tienen que dar», insisten.
"
El Mundo Today,https://www.elmundotoday.com/2021/10/dentro-de-nada-estamos-en-navidad-anuncia-el-proximo-nobel-de-astrofisica/,2021-10-29,"«Dentro de nada estamos en Navidad», anuncia el próximo Nobel de Astrofísica","“PUES YA HEMOS CENADO”, DIJO EL AÑO PASADO, REVOLUCIONANDO EL SECTOR CULINARIO",1,"
Después de meses de investigación, Arturo Campanelo, de 62 años, ha revolucionado el mundo de la ciencia al descubrir que “dentro de nada estamos en Navidad”. Este anuncio lo sitúa en una posición muy aventajada para hacerse con el próximo Nobel de Astrofísica. El genio español comunicó ayer su hallazgo a su mujer y a sus hijos mientras estaba sentado tranquilamente en el salón de su casa.
Primero Campanelo estableció el día exacto en el que caerá Navidad y, tras señalar el día que es hoy, realizó un complejo cálculo mental con el que consiguió llegar a la conclusión de que la celebración católica está realmente cerca en el tiempo. “Parecía que quedaba mucho, pero Arturo ha demostrado que el tiempo es relativo y que en nada estaremos comiendo junto a nuestros seres queridos”, señala la comunidad científica.
En las pasadas Navidades, Campanelo ya revolucionó el sector culinario al asegurar “Pues ya hemos cenado” apenas unos segundos después de acabar de cenar. Ya son famosas sus postulaciones sobre termodinámica, especialmente cuando afirma, en un día todavía otoñal, que “parece que refresca”.
Muchos científicos aún recuerdan cuando este hombre, esta eminencia, sentenció “ya estamos todos”, reformulando las bases de la estadística para siempre y aportando un enfoque clave para los expertos en demografía. O su célebre “Esto es como todo”, con el que cambió drásticamente la percepción mundial de la lógica.
"
El Mundo Today,https://www.elmundotoday.com/2021/10/cinco-claves-para-distinguir-a-los-ninos-que-vienen-a-pedir-caramelos-a-tu-casa-por-halloween-de-unos-ladrones/,2021-10-29,Cinco claves para distinguir a los niños que vienen a pedir caramelos a tu casa por Halloween de unos ladrones,NUESTROS EXPERTOS TE ASESORAN,1,"
Halloween ya está aquí y, como es una celebración relativamente nueva en España, es normal que los propietarios e inquilinos de viviendas todavía tengan dudas a la hora de entender sus códigos. Por eso nuestros expertos de Idealista te dan cinco claves para distinguir a los niños que vienen a tu casa a pedir caramelos de unos ladrones.
Los niños van disfrazados de ladrones. Si los niños van disfrazados de ladrones, con armas, pasamontañas y midiendo casi dos metros, es probable que no sean niños y realmente se trate de ladrones.
Vives en España y no en Estados Unidos, así que ningún niño va a las casas en Halloween. Si vives en Albacete, Ourense o Barcelona, lo normal es que las personas que llamen a tu timbre sean ladrones porque no vives en Estados Unidos, no eres estadounidense y nunca lo serás.
Cuando les preguntas si son ladrones se sonrojan y se ponen nerviosos. Si algo caracteriza a los ladrones es su honestidad. Si les preguntas si son ladrones y se ponen nerviosos y se sonrojan, claramente son ladrones y no niños.
En lugar de caramelos te piden joyas y dinero. Si en lugar de “truco o trato” te dicen “arriba las manos, esto es un atraco”, lo más probable es que estés ante una banda de ladrones y no ante unos niños hambrientos de dulce.
Los niños te han atado y amordazado en el desván. Si estás atado junto a tu familia en el desván, seguramente esos niños son unos ladrones profesionales y no están celebrando Halloween.
"
El Mundo Today,https://www.elmundotoday.com/2021/10/que-tipo-de-companero-de-piso-eres-segun-tu-personalidad/,2021-10-28,¿Qué tipo de compañero de piso eres según tu personalidad?,PATROCINADO POR FRIPOZO,1,
El Mundo Today,https://www.elmundotoday.com/2021/10/filtrado-un-audio-de-florentino-perez-lleno-de-elogios-a-koeman/,2021-10-28,Filtrado un audio de Florentino Pérez lleno de elogios a Koeman,"TAMBIÉN CONFIESA QUE ECHA MUCHO DE MENOS ""A NOBITA""",1,"
«Es la persona que más feliz me ha hecho en la vida». Así de entusiasmado se muestra el presidente del Real Madrid, Florentino Pérez, hablando sobre Ronald Koeman en una conversación privada que se ha filtrado a los medios esta tarde. «Ha hecho más por el club que ningún otro entrenador», se le oye aseverar.
Los audios han trascendido poco después de que el Barça haya despedido a su entrenador. Koeman no ha querido pronunciarse sobre las declaraciones de Pérez pero ha negado con la cabeza cuando se le ha preguntado si cree que tiene posibilidades de incorporarse al club blanco. «No va por ahí», se ha limitado a decir.
El directivo del Real Madrid se ha mostrado muy disgustado hoy y no está claro si el motivo del enfado es la filtración de la conversación privada o la destitución de Koeman. «Todo lo bueno se acaba», ha comentado al respecto.
Al cierre de la edición, ha trascendido otro audio de Florentino Pérez en el que confiesa que echa mucho de menos «a Nobita».
"
El Mundo Today,https://www.elmundotoday.com/2021/10/abandonar-a-la-pareja-y-a-los-hijos-y-adoptar-una-nueva-identidad-a-2000-kilometros-de-distancia-es-la-manera-mas-sencilla-de-hacer-una-mudanza-segun-los-expertos/,2021-10-28,"Abandonar a la pareja y a los hijos y adoptar una nueva identidad a 2000 kilómetros de distancia es la manera más sencilla de hacer una mudanza, según los expertos",IRSE CON LO PUESTO PERMITE AHORRAR HASTA 3000 EUROS EN LA MUDANZA,1,"
¿Tienes que hacer una mudanza? Déjalo todo atrás y cambia de vida. Esta es la conclusión a la que han llegado docenas de expertos en logística, que coinciden en que empezar una nueva vida de cero es, a la larga, «más fácil, práctico y barato» que organizar una mudanza. «Cambiar de pareja es duro, pero hay que asumir que la mayoría de mudanzas generan tanta tensión en las relaciones que estas acaban rompiendo igualmente», explica Jaime Moreno, que lleva 30 años al frente de Mudanzas Moreno.
«Mover dos toneladas de ajuar que luego no encajará en la nueva residencia y que finalmente habrá que tirar a la basura para adquirir nuevo mobiliario, con sus correspondientes y difíciles viajes a Ikea, es muchísimo más caro que salir a la calle y, simplemente, dejarlo todo atrás», explica Moreno, que recuerda que lo mejor es dejar atrás todas las posesiones personales «y caminar, caminar lejos, lejos, lejos, todo lo lejos que se pueda, donde nadie sepa nuestro nombre».
Así, el abandono del hogar se confirma como la forma más eficiente de gestionar un cambio de hogar.
Javier Segura, un español que hace tres años tuvo que enfrentarse a un cambio de piso, lo hizo saliendo de casa con lo puesto y no volviendo la visa atrás, y se muestra tajante: «No sé de quién me habláis, no he oído hablar jamás de Javier Segura, yo me llamo Juan González», ha declarado.
"
El Mundo Today,https://www.elmundotoday.com/2021/10/una-familia-madrilena-aterrada-ante-la-posibilidad-de-que-la-lava-del-volcan-de-la-palma-llegue-a-su-chale-de-las-rozas/,2021-10-28,"Una familia madrileña, aterrada ante la posibilidad de que la lava del volcán de La Palma llegue a su chalé de Las Rozas",HAN PEDIDO A SU SERVICIO QUE VAYA EMPAQUETANDO LOS ARTÍCULOS MÁS VALIOSOS,1,"
Viendo que la lava del volcán de La Palma sigue expandiéndose y está cada vez más cerca, la familia madrileña Sesma-Agaj vive aterrada ante la posibilidad de que acabe sepultando su chalé de Las Rozas. Tanto el matrimonio como sus once hijos exigen a las autoridades que hagan algo. “No podemos seguir viviendo así”, denuncian. “Necesitamos la certeza de que el volcán no va a destruir nuestra casa porque la reformamos el año pasado”, añaden.
A esta familia le parece tercermundista tener que estar pendiente de si un volcán destruye sus pertenencias. “Me parece increíble que en pleno 2021 sigan pasando estas cosas en España”, se sincera Cayetana Sesma Agaj, de 16 años. “Cómo le explico yo a mis hijos pequeños que hay un volcán acercándose a su habitación”, pregunta la madre. “Espero que la Comunidad de Madrid o el Ayuntamiento hagan algo porque, si tenemos que esperar al Gobierno, lo tenemos crudo”, expresa el padre.
Por si acaso, la familia ya ha pedido a su servicio que vaya empaquetando los artículos más valiosos. “Tenemos objetos de muchísimo valor que no se pueden dañar, nosotros tenemos mucho más que perder que los canarios”, explican desde su chalé de Las Rozas. “Es muy duro vivir con este miedo”, reconocen.
Esta familia ya vivió un auténtico calvario cuando se produjo el tsunami de Tailandia en el año 2004. “Tuvimos que cubrir nuestra piscina porque sentíamos que en cualquier momento ocurriría una auténtica desgracia”, declaran.
"
El Mundo Today,https://www.elmundotoday.com/2021/10/desalojan-el-oceano-atlantico-porque-un-nino-orino-en-el-agua/,2021-10-28,Desalojan el océano Atlántico porque un niño orinó en el agua,LA TEMPERATURA HA SUBIDO UN GRADO Y SE TEME QUE PROVOQUE CAMBIOS CLIMÁTICOS IRREVERSIBLES,1,"
Salvamento Marítimo ha vivido hoy una de las jornadas más ajetreadas que se recuerdan. Rafael Candau, un niño vigués, ha orinado en la playa de Samil y ha obligado a desalojar todo el océano Atlántico. Bañistas de todo el mundo, barcos y hasta los trabajadores de las plataformas petrolíferas han tenido que abandonar el agua a la carrera.
El orín del niño se extendió esta mañana a gran ritmo por el mar y acabó sembrando el pánico generalizado. “Me estaba bañando tranquilamente y noté una corriente caliente a la altura de mi cadera”, relata un bañista de la costa argentina. Salvamento Marítimo lleva horas desalojando el océano esperando a que la orina se acabe disolviendo. “Son solo unas gotitas, no hay de qué preocuparse”, ha intentado tranquilizar el presidente de la Junta de Galicia, Alberto Núñez Feijóo, en la línea de Mariano Rajoy.
Además de la insalubridad que provoca el orín en el agua, su presencia ha elevado la temperatura del océano un grado y ahora se teme que el niño haya provocado cambios climáticos irreversibles. “Ha sido la gota que ha colmado el vaso, ese niño se ha cargado todo el equilibrio climático”, lamentan desde Greenpeace.
No es la primera vez que el pequeño Candau, conocido como El Pispa, provoca daños irreparables en el planeta Tierra. El año pasado ya rompió la pantalla del televisor de sus padres de un balonazo, provocando el desalojo inmediato de todos los trabajadores de RTVE.
"
